Cgla4	Cniv4	Ndel4	Cbra4	Nbac4	Lklu4	Spar4	Scer4
IRT1	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
YAL002W	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
YAL054C	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YAL061W	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YAL062W	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YAR031W	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
YAR071W	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE
YBL043W	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YBL049W	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YBL069W	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
YBR045C	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YBR050C	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
YBR067C	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
YBR072W	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
YBR093C	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
YBR094W	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
YBR117C	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YBR145W	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
YBR147W	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YBR169C	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YBR240C	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YBR287W	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
YBR296C	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
YCL027W	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
YCL048W	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YCL048W-A	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YCR021C	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
YCR045C	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
YCR051W	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YCR098C	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
YCR105W	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YDL021W	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
YDL022C-A	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YDL024C	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YDL048C	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YDL079C	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YDL085W	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YDL204W	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YDL222C	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YDL223C	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YDR005C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
YDR017C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
